Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
6.8,229.6,M,,,,,,7.4,19.6,L,,,,,,8.1,118.2,M,,,,,,8.8,117.5,M,,,,,,9.5,186.4,M,,,,,,15.5,3.4,M,,,,,,13.5,14.9,M,,,,,,27.7,253.2,M,,,,
6.9,106.1,M,,,,,,7.4,29,L,,,,,,8.1,124.9,S,,,,,,8.8,121.5,M,,,,,,10.1,2,M,,,,,,15.5,27,S,,,,,,13.5,50.6,L,,,,,,27.7,270.8,M,,,,
6.9,123.7,M,,,,,,7.4,35.1,M,,,,,,8.1,149.2,L,,,,,,8.8,227.5,M,,,,,,10.1,91.2,L,,,,,,15.5,35.1,L,,,,,,13.5,197.2,S,,,,,,28.4,4.1,M,,,,
7.2,148.7,M,,,,,,7.4,59.4,M,,,,,,8.1,226.2,M,,,,,,8.8,232.3,L,,,,,,10.1,107.4,L,,,,,,15.5,65.5,M,,,,,,13.5,228.9,L,,,,,,28.4,10.8,M,,,,
7.2,163.5,M,,,,,,7.4,75.6,M,,,,,,8.4,167.9,M,,,,,,9.2,184.7,M,,,,,,10.1,151.2,M,,,,,,15.5,114.1,M,,,,,,14.2,31.7,L,,,,,,28.4,57.4,M,,,,
7.3,65.4,M,,,,,,7.4,88.5,L,,,,,,8.8,35.8,M,,,,,,9.5,2.7,M,,,,,,10.1,159.3,M,,,,,,15.5,136.4,M,,,,,,14.2,57.4,L,,,,,,29,143.8,M,,,,
7.4,10.1,M,,,,,,7.4,130.3,L,,,,,,8.8,49.3,L,,,,,,9.5,7.4,M,,,,,,10.1,179.6,L,,,,,,15.5,141.8,L,,,,,,14.2,151.9,M,,,,,,29,185.7,S,,,,
7.4,45.2,L,,,,,,7.4,180.3,L,,,,,,8.8,80.3,M,,,,,,9.5,16.2,S,,,,,,10.1,199.2,M,,,,,,15.5,196.5,L,,,,,,14.2,209.3,L,,,,,,29.7,77.6,L,,,,
7.4,50.6,L,,,,,,7.4,183.7,L,,,,,,8.8,84.4,M,,,,,,9.5,37.1,M,,,,,,10.2,122.6,L,,,,,,15.5,200.5,L,,,,,,14.2,273.5,M,,,,,,29.7,91.2,M,,,,
7.4,60.1,M,,,,,,7.7,139.8,L,,,,,,8.8,101.3,L,,,,,,9.5,62.1,L,,,,,,10.8,87.1,L,,,,,,16.2,43.9,L,,,,,,14.9,279.5,L,,,,,,29.7,174.9,L,,,,
7.4,120.9,L,,,,,,7.8,82.6,M,,,,,,8.8,120.9,L,,,,,,9.5,69.5,L,,,,,,10.8,102,S,,,,,,16.2,52,L,,,,,,14.9,299.8,L,,,,,,29.7,193.1,M,,,,
7.4,143.8,M,,,,,,7.9,151.8,M,,,,,,8.8,187.7,M,,,,,,9.5,131.7,L,,,,,,10.8,111.4,M,,,,,,16.2,70.9,L,,,,,,15.5,106.7,S,,,,,,29.7,220.8,S,,,,
7.4,192.2,M,,,,,,8.1,68.9,M,,,,,,8.8,198.5,M,,,,,,9.5,159.3,M,,,,,,10.8,115.5,L,,,,,,16.2,151.2,M,,,,,,15.5,129.6,M,,,,,,29.7,278.2,M,,,,
7.4,207.3,M,,,,,,8.1,119.5,L,,,,,,8.8,209.3,M,,,,,,9.5,173.5,M,,,,,,10.8,143.8,L,,,,,,16.9,8.8,L,,,,,,15.5,168.8,M,,,,,,31.1,121.5,M,,,,
7.8,129,L,,,,,,8.1,223.5,L,,,,,,8.8,213.4,M,,,,,,9.5,210,S,,,,,,10.8,163.4,L,,,,,,16.9,60.1,L,,,,,,15.5,203.2,L,,,,,,31.1,205.3,M,,,,
8.1,35.8,L,,,,,,8.5,196.9,M,,,,,,8.8,222.8,M,,,,,,9.6,148,M,,,,,,10.8,195.8,M,,,,,,16.9,81,M,,,,,,15.5,239.7,L,,,,,,32.4,26.3,M,,,,
8.1,84.4,L,,,,,,8.8,25.7,L,,,,,,8.8,234.3,M,,,,,,10.1,27,M,,,,,,10.8,226.9,M,,,,,,16.9,126.9,L,,,,,,16.2,43.9,M,,,,,,32.4,129,L,,,,
8.1,103.3,M,,,,,,8.8,40.5,M,,,,,,9.5,32.4,L,,,,,,10.1,50,M,,,,,,10.9,220.1,M,,,,,,16.9,214,L,,,,,,16.2,138.4,M,,,,,,32.4,213.4,M,,,,
8.1,137.7,L,,,,,,8.8,47.3,M,,,,,,9.5,38.7,M,,,,,,10.1,54,M,,,,,,11.5,9.5,L,,,,,,17.6,109.4,S,,,,,,16.2,143.8,M,,,,,,33.1,112.1,S,,,,
8.1,168.8,M,,,,,,8.8,62.1,L,,,,,,9.5,44.6,L,,,,,,10.1,58.7,L,,,,,,11.5,35.1,M,,,,,,17.6,189.7,M,,,,,,16.2,164.1,M,,,,,,33.1,287,NC,,,,
8.1,174.2,M,,,,,,8.8,93.9,M,,,,,,9.5,53.3,M,,,,,,10.1,108.7,M,,,,,,11.5,41.2,M,,,,,,18.2,17.6,S,,,,,,16.2,244.4,L,,,,,,33.8,48.6,M,,,,
8.1,181,M,,,,,,8.8,100.6,M,,,,,,9.5,97.9,M,,,,,,10.1,112.8,M,,,,,,11.5,78.3,M,,,,,,18.2,87.1,M,,,,,,16.2,285.6,L,,,,,,33.8,100.6,M,,,,
8.1,195.1,M,,,,,,8.8,110.1,L,,,,,,9.5,129,L,,,,,,10.1,137.7,M,,,,,,11.5,81.7,M,,,,,,18.2,118.8,M,,,,,,16.2,305.2,L,,,,,,33.8,234.3,L,,,,
8.1,233.6,M,,,,,,8.8,145.8,M,,,,,,9.5,154.6,M,,,,,,10.1,144.5,M,,,,,,11.5,135,M,,,,,,18.2,122.9,L,,,,,,16.9,10.1,M,,,,,,33.8,264.7,M,,,,
8.8,62.8,L,,,,,,8.8,155.3,L,,,,,,9.5,230.2,M,,,,,,10.1,155.3,L,,,,,,11.5,139.8,M,,,,,,18.2,156,M,,,,,,16.9,251.2,L,,,,,,34.4,64.8,L,,,,
8.8,68.2,M,,,,,,8.8,189.1,M,,,,,,9.8,175.2,M,,,,,,10.1,206.6,M,,,,,,11.5,175.6,L,,,,,,18.2,181,M,,,,,,16.9,259.3,L,,,,,,34.4,226.2,L,,,,
8.8,74.9,M,,,,,,8.8,194.5,M,,,,,,9.8,177.9,M,,,,,,10.8,76.3,M,,,,,,11.5,206.6,S,,,,,,18.9,22.3,M,,,,,,17.6,174.9,L,,,,,,35.1,41.9,S,,,,
8.8,87.1,M,,,,,,8.8,208.6,L,,,,,,10.1,3.4,M,,,,,,10.8,80.3,M,,,,,,12.2,27,L,,,,,,18.9,103.3,L,,,,,,18.2,4.1,M,,,,,,35.1,153.9,M,,,,
8.8,94.5,M,,,,,,8.9,79,M,,,,,,10.1,21.6,L,,,,,,10.8,104.7,M,,,,,,12.2,126.3,L,,,,,,18.9,145.8,L,,,,,,18.2,25.7,L,,,,,,35.1,295.1,M,,,,
8.8,118,M,,,,,,9,16.6,L,,,,,,10.1,108,M,,,,,,10.8,151.9,M,,,,,,12.2,131,L,,,,,,18.9,161.4,M,,,,,,18.2,66.2,M,,,,,,35.8,14.9,M,,,,
8.8,131.7,L,,,,,,9,176.6,M,,,,,,10.1,114.8,M,,,,,,10.8,168.8,L,,,,,,12.2,167.4,L,,,,,,18.9,206.6,L,,,,,,18.2,99.3,L,,,,,,36.5,274.1,M,,,,
8.8,151.9,L,,,,,,9.3,134.4,M,,,,,,10.1,171.5,S,,,,,,10.8,198.5,L,,,,,,12.2,192.8,M,,,,,,19.6,92.5,M,,,,,,18.2,191.8,M,,,,,,37.1,33.1,M,,,,
8.8,211.3,M,,,,,,9.5,5.4,M,,,,,,10.1,181,M,,,,,,10.8,202.6,L,,,,,,12.2,202.6,M,,,,,,19.6,131.7,M,,,,,,18.2,218.8,M,,,,,,37.1,85.8,M,,,,
8.8,214.7,L,,,,,,9.5,56,L,,,,,,10.1,202.6,M,,,,,,11,43.6,M,,,,,,12.2,232.9,M,,,,,,19.6,166.1,L,,,,,,18.2,235,M,,,,,,37.1,137.7,M,,,,
9.5,14.2,S,,,,,,9.5,72.2,L,,,,,,10.3,105,M,,,,,,11.5,24.3,M,,,,,,12.8,23.6,L,,,,,,20.3,29.7,L,,,,,,18.2,264.7,M,,,,,,37.1,257.9,M,,,,
9.5,33.1,L,,,,,,9.5,125.6,S,,,,,,10.8,10.1,L,,,,,,11.5,83.7,M,,,,,,12.8,45.2,M,,,,,,20.3,37.8,S,,,,,,18.2,294.4,M,,,,,,37.8,74.3,S,,,,
9.5,41.9,M,,,,,,9.5,202.6,S,,,,,,10.8,28.4,L,,,,,,11.5,178.3,M,,,,,,12.8,50,L,,,,,,20.3,54.7,M,,,,,,18.9,18.9,M,,,,,,37.8,178.9,M,,,,
9.5,53.3,NC,,,,,,9.5,212,NC,,,,,,10.8,40.5,M,,,,,,11.5,213.4,M,,,,,,12.8,54.7,M,,,,,,20.3,170.8,M,,,,,,18.9,37.8,S,,,,,,38.5,162,M,,,,
9.5,79,L,,,,,,9.5,232.9,S,,,,,,10.8,72.9,M,,,,,,11.5,216.7,M,,,,,,12.8,68.2,M,,,,,,20.3,176.2,M,,,,,,18.9,120.9,M,,,,,,38.5,241,M,,,,
9.5,91.2,M,,,,,,10.1,10.1,L,,,,,,10.8,87.1,M,,,,,,12.2,33.1,M,,,,,,12.8,72.2,L,,,,,,20.9,48.6,M,,,,,,18.9,148.5,M,,,,,,39.8,56.7,M,,,,
9.5,108.7,M,,,,,,10.1,52.7,S,,,,,,10.8,139.1,M,,,,,,12.2,97.9,M,,,,,,12.8,118.8,L,,,,,,20.9,65.5,M,,,,,,18.9,180.3,M,,,,,,39.8,126.9,M,,,,
9.5,114.8,M,,,,,,10.1,105.9,M,,,,,,10.8,143.8,L,,,,,,12.2,123.6,M,,,,,,12.8,216.1,M,,,,,,20.9,76.3,M,,,,,,18.9,224.2,L,,,,,,40.5,196.5,M,,,,
9.5,146.5,L,,,,,,10.1,116.1,M,,,,,,10.8,151.2,L,,,,,,12.2,134.4,M,,,,,,13.5,31.1,L,,,,,,21.6,12.2,M,,,,,,19.6,115.5,L,,,,,,41.2,109.4,L,,,,
9.5,158.7,L,,,,,,10.1,149.2,M,,,,,,10.8,191.8,M,,,,,,12.2,235.6,M,,,,,,13.5,58.7,L,,,,,,21.6,137.1,M,,,,,,19.6,126.3,L,,,,,,41.2,118.8,M,,,,
9.5,162.7,M,,,,,,10.1,168.1,M,,,,,,10.8,220.1,L,,,,,,12.4,119.9,M,,,,,,13.5,62.8,M,,,,,,21.6,151.9,M,,,,,,19.6,185.7,M,,,,,,41.2,145.2,M,,,,
9.5,165.4,M,,,,,,10.1,219.4,M,,,,,,11.5,60.1,L,,,,,,12.8,19.6,M,,,,,,13.5,94.5,M,,,,,,21.6,197.8,M,,,,,,20.3,93.9,M,,,,,,41.2,205.3,L,,,,
9.5,198.5,M,,,,,,10.1,229.6,M,,,,,,11.5,68.9,M,,,,,,12.8,64.8,M,,,,,,13.5,99.3,M,,,,,,22.3,6.1,L,,,,,,20.3,110.7,L,,,,,,41.2,251.2,M,,,,
9.5,201.9,L,,,,,,10.2,32.2,L,,,,,,11.5,76.3,L,,,,,,12.8,72.2,M,,,,,,13.5,147.2,M,,,,,,22.3,41.9,M,,,,,,20.3,155.3,L,,,,,,41.2,284.3,M,,,,
9.5,227.4,M,,,,,,10.2,186.7,M,,,,,,11.5,94.5,S,,,,,,12.8,88.5,M,,,,,,13.5,171.5,M,,,,,,22.3,70.2,L,,,,,,20.3,213.4,M,,,,,,41.9,92.5,L,,,,
9.7,47.5,M,,,,,,10.8,38.5,M,,,,,,11.5,133,M,,,,,,12.8,93.2,L,,,,,,13.5,183,L,,,,,,22.3,83,L,,,,,,20.3,270.1,M,,,,,,41.9,171.5,L,,,,
10,134.4,M,,,,,,10.8,66.2,L,,,,,,11.5,185,L,,,,,,12.8,141.1,S,,,,,,13.5,188.4,M,,,,,,22.3,98.6,M,,,,,,20.3,276.2,S,,,,,,42.5,186.4,L,,,,
10.1,18.2,L,,,,,,10.8,86.4,M,,,,,,11.8,212.6,M,,,,,,12.8,165.4,M,,,,,,13.5,209.3,S,,,,,,22.3,107.4,M,,,,,,20.9,60.1,M,,,,,,42.5,214.7,L,,,,
10.1,29,L,,,,,,10.8,90.5,M,,,,,,12.2,17.6,M,,,,,,12.8,182.3,M,,,,,,14.2,14.9,M,,,,,,22.3,185,L,,,,,,20.9,71.6,L,,,,,,43.2,45.2,M,,,,
10.1,56.7,M,,,,,,10.8,96.6,M,,,,,,12.2,56,M,,,,,,12.8,189.7,M,,,,,,14.2,38.5,L,,,,,,23,33.1,L,,,,,,20.9,133,L,,,,,,43.9,11.5,M,,,,
10.1,71.6,M,,,,,,10.8,137.1,M,,,,,,12.2,64.8,M,,,,,,12.8,220.8,L,,,,,,14.2,161.4,M,,,,,,23,60.8,L,,,,,,20.9,143.1,L,,,,,,43.9,69.5,M,,,,
10.1,82.4,M,,,,,,10.8,142.5,L,,,,,,12.2,91.2,L,,,,,,13.5,12.2,M,,,,,,14.2,222.8,M,,,,,,23,116.1,L,,,,,,20.9,160,L,,,,,,43.9,222.1,L,,,,
10.1,99.9,M,,,,,,10.8,158.6,M,,,,,,12.2,111.4,M,,,,,,13.5,116.1,M,,,,,,14.9,19.6,M,,,,,,23,126.9,L,,,,,,21.6,48.6,L,,,,,,43.9,268.1,L,,,,
10.1,126.3,M,,,,,,10.8,172.2,L,,,,,,12.2,118.8,S,,,,,,13.5,129.6,M,,,,,,14.9,153.3,M,,,,,,23,192.4,M,,,,,,21.6,77.6,M,,,,,,44.6,301.1,M,,,,
10.1,141.1,M,,,,,,10.8,182.3,M,,,,,,12.2,136.8,M,,,,,,13.5,185.7,M,,,,,,14.9,157.3,L,,,,,,23,201.2,L,,,,,,21.6,83,L,,,,,,45.2,260.6,S,,,,
10.1,171.5,M,,,,,,11.5,23,L,,,,,,12.2,165.4,M,,,,,,13.5,193.8,S,,,,,,14.9,164.1,L,,,,,,23,218.1,M,,,,,,21.6,89.8,M,,,,,,45.2,291,M,,,,
10.1,177.6,M,,,,,,11.5,59.4,M,,,,,,12.2,174.2,M,,,,,,14.2,40.5,L,,,,,,14.9,178.9,M,,,,,,24.3,89.8,M,,,,,,22.3,12.8,M,,,,,,45.9,228.2,L,,,,
10.1,189.7,M,,,,,,11.5,82.4,L,,,,,,12.2,195.1,L,,,,,,14.2,59.4,L,,,,,,14.9,199.2,L,,,,,,24.3,212,L,,,,,,22.3,199.2,L,,,,,,46.6,81,M,,,,
10.1,205.3,M,,,,,,11.5,102,L,,,,,,12.2,205.3,M,,,,,,14.2,148.5,M,,,,,,15.5,6.1,M,,,,,,25,20.3,M,,,,,,22.3,249.1,M,,,,,,46.6,102.6,M,,,,
10.1,217.4,M,,,,,,11.5,121.5,M,,,,,,12.2,226.2,M,,,,,,14.2,161.4,L,,,,,,15.5,83.7,M,,,,,,25,24.3,M,,,,,,23,54,L,,,,,,47.3,126.3,M,,,,
10.8,4.1,M,,,,,,11.5,179.6,M,,,,,,12.8,51.3,M,,,,,,14.2,172.2,M,,,,,,15.5,87.8,L,,,,,,25,51.3,M,,,,,,23,103.3,M,,,,,,47.3,237,S,,,,
10.8,8.1,M,,,,,,11.5,198.5,M,,,,,,12.8,81.7,M,,,,,,14.2,224.8,L,,,,,,15.5,104.7,M,,,,,,25,133,M,,,,,,23,119.5,M,,,,,,47.3,243.1,L,,,,
10.8,26.3,M,,,,,,11.5,205.3,L,,,,,,12.8,126.9,M,,,,,,14.2,228.2,L,,,,,,15.5,114.1,M,,,,,,25,180.3,M,,,,,,23,207.3,M,,,,,,47.9,178.3,M,,,,
10.8,38.5,M,,,,,,11.5,215.4,M,,,,,,12.8,147.2,M,,,,,,14.2,231.6,M,,,,,,15.5,122.2,M,,,,,,25.7,37.8,M,,,,,,23,228.9,M,,,,,,48.6,148.5,L,,,,
10.8,65.5,M,,,,,,11.5,226.2,L,,,,,,12.8,158,L,,,,,,14.6,209,NC,,,,,,15.5,137.7,M,,,,,,25.7,120.9,M,,,,,,23,240.4,L,,,,,,48.6,157.3,L,,,,
10.8,97.2,M,,,,,,12.1,112.9,L,,,,,,12.8,161.4,M,,,,,,14.9,4.1,L,,,,,,15.5,227.5,L,,,,,,25.7,141.8,S,,,,,,23.6,24.3,M,,,,,,48.6,208.6,M,,,,
10.8,105.9,M,,,,,,12.2,14.9,M,,,,,,12.8,216.1,L,,,,,,14.9,8.8,M,,,,,,15.5,231.6,M,,,,,,25.7,145.2,M,,,,,,23.6,30.4,L,,,,,,49.3,36.5,M,,,,
10.8,155.3,L,,,,,,12.2,18.9,L,,,,,,12.8,232.9,NC,,,,,,14.9,15.5,L,,,,,,16.2,27,L,,,,,,25.7,158.7,M,,,,,,23.6,256.6,L,,,,,,49.3,59.4,M,,,,
10.8,183.7,L,,,,,,12.2,28.4,L,,,,,,13.5,6.8,L,,,,,,14.9,29.7,L,,,,,,16.2,41.9,M,,,,,,25.7,207.3,M,,,,,,23.6,289.7,M,,,,,,49.3,193.8,M,,,,
11,123.1,M,,,,,,12.2,49.3,M,,,,,,13.5,14.2,L,,,,,,14.9,52,L,,,,,,16.2,69.5,L,,,,,,26.3,10.1,L,,,,,,23.6,301.1,L,,,,,,49.3,200.5,M,,,,
11.2,149.3,M,,,,,,12.2,69.5,M,,,,,,13.5,25,M,,,,,,14.9,175.6,M,,,,,,16.2,109.4,M,,,,,,26.3,105.3,M,,,,,,24.3,172.2,M,,,,,,50,29,L,,,,
11.3,129.5,M,,,,,,12.2,75.6,S,,,,,,13.5,35.1,M,,,,,,14.9,178.9,M,,,,,,16.2,133,L,,,,,,26.3,111.4,M,,,,,,25,166.8,L,,,,,,50,87.8,M,,,,
11.4,143.8,M,,,,,,12.2,128.3,L,,,,,,13.5,47.3,L,,,,,,15.5,26.3,L,,,,,,16.2,142.5,M,,,,,,26.3,152.6,M,,,,,,25,187.7,M,,,,,,50,112.8,M,,,,
11.5,21.6,M,,,,,,12.2,131.7,M,,,,,,13.5,122.9,L,,,,,,15.5,37.1,L,,,,,,16.2,193.8,L,,,,,,26.3,169.5,L,,,,,,25,283.6,L,,,,,,50.6,18.9,M,,,,
11.5,60.1,M,,,,,,12.2,152.6,M,,,,,,13.5,130.3,L,,,,,,15.5,47.9,M,,,,,,16.2,205.3,L,,,,,,26.3,188.4,M,,,,,,25.7,41.2,M,,,,,,50.6,51.3,L,,,,
11.5,118.8,M,,,,,,12.2,162,L,,,,,,13.5,189.1,L,,,,,,15.5,69.5,L,,,,,,16.4,79.5,L,,,,,,27,45.2,L,,,,,,25.7,261.3,L,,,,,,50.6,166.1,L,,,,
11.5,208.6,M,,,,,,12.2,175.6,M,,,,,,13.5,222.8,NC,,,,,,15.5,78.3,M,,,,,,16.5,219.3,M,,,,,,27,56.7,S,,,,,,25.7,296.4,L,,,,,,50.6,273.5,M,,,,
11.5,231.6,S,,,,,,12.2,235,M,,,,,,13.9,40.3,M,,,,,,15.5,104,M,,,,,,16.9,65.5,M,,,,,,27,164.1,L,,,,,,26.3,19.6,M,,,,,,52,75.6,L,,,,
11.7,50.3,L,,,,,,12.5,35.3,M,,,,,,14.2,31.1,L,,,,,,15.5,108,M,,,,,,16.9,72.2,L,,,,,,27,174.2,L,,,,,,26.3,126.9,L,,,,,,52,257.3,L,,,,
12,102.9,M,,,,,,12.5,145.8,L,,,,,,14.2,99.3,M,,,,,,15.5,112.1,M,,,,,,16.9,75.6,M,,,,,,27.7,71.6,S,,,,,,26.3,139.8,M,,,,,,52,264.7,M,,,,
12.2,11.5,M,,,,,,12.8,93.9,L,,,,,,14.2,103.3,M,,,,,,15.5,126.3,L,,,,,,16.9,129,L,,,,,,27.7,77,M,,,,,,26.3,147.2,M,,,,,,52,279.5,M,,,,
12.2,35.1,L,,,,,,12.8,192.4,L,,,,,,14.2,199.2,NC,,,,,,15.5,156.6,L,,,,,,16.9,149.9,M,,,,,,27.7,95.9,L,,,,,,26.3,181.6,S,,,,,,52.7,134.4,M,,,,
12.2,44.6,L,,,,,,12.8,208.6,M,,,,,,14.4,43.5,M,,,,,,15.5,201.2,L,,,,,,16.9,174.2,M,,,,,,27.7,125.6,M,,,,,,26.3,213.4,L,,,,,,53.3,286.3,NC,,,,
12.2,88.5,L,,,,,,13,195.5,L,,,,,,14.4,229.2,S,,,,,,15.5,205.9,M,,,,,,16.9,213.4,M,,,,,,28.4,5.4,M,,,,,,27,7.4,M,,,,,,54,249.1,M,,,,
12.2,168.1,M,,,,,,13.2,99.4,L,,,,,,14.6,178,S,,,,,,15.5,211.3,M,,,,,,16.9,235.6,M,,,,,,28.4,66.2,L,,,,,,27,49.3,M,,,,,,54,295.7,S,,,,
12.2,193.1,M,,,,,,13.3,45,L,,,,,,14.9,3.4,M,,,,,,15.5,214,M,,,,,,17.6,10.1,L,,,,,,28.4,199.2,M,,,,,,27,75.6,M,,,,,,54.7,4.1,M,,,,
12.2,220.8,NC,,,,,,13.3,125.2,M,,,,,,14.9,20.3,L,,,,,,15.5,218.1,M,,,,,,17.6,34.4,L,,,,,,29,16.9,L,,,,,,27,107.4,L,,,,,,54.7,98.6,L,,,,
12.3,138.3,M,,,,,,13.5,3.4,M,,,,,,14.9,66.8,L,,,,,,16.2,22.3,M,,,,,,17.6,46.4,S,,,,,,29,86.4,S,,,,,,27,151.2,M,,,,,,54.7,183,L,,,,
12.4,86.4,M,,,,,,13.5,41.9,M,,,,,,14.9,85.8,L,,,,,,16.2,81.7,L,,,,,,17.6,96.6,M,,,,,,29,217.4,L,,,,,,27,162,L,,,,,,54.7,205.9,S,,,,
12.7,116.3,M,,,,,,13.5,62.8,M,,,,,,14.9,107.4,L,,,,,,16.2,85.8,M,,,,,,17.6,118.2,S,,,,,,29.7,29,M,,,,,,27,193.8,M,,,,,,55.4,44.6,M,,,,
12.8,53.3,M,,,,,,13.5,110.1,M,,,,,,14.9,114.8,M,,,,,,16.2,95.9,L,,,,,,17.6,125.6,L,,,,,,29.7,62.8,L,,,,,,27.7,65.5,M,,,,,,55.4,222.8,L,,,,
12.8,146.5,L,,,,,,13.5,118.8,M,,,,,,14.9,143.8,M,,,,,,16.2,99.9,M,,,,,,17.6,168.8,M,,,,,,29.7,81.7,M,,,,,,27.7,119.5,M,,,,,,56,12.2,L,,,,
12.8,152.6,M,,,,,,13.5,156,L,,,,,,14.9,153.9,S,,,,,,16.2,137.1,L,,,,,,17.6,186.4,M,,,,,,29.7,131,S,,,,,,27.7,134.4,M,,,,,,56,68.2,M,,,,
12.8,160,M,,,,,,13.5,165.4,L,,,,,,14.9,170.1,M,,,,,,16.2,145.2,L,,,,,,17.9,190.7,L,,,,,,29.7,147.2,L,,,,,,27.7,176.2,L,,,,,,56,119.5,L,,,,
12.8,164.1,M,,,,,,13.5,189.1,M,,,,,,14.9,209.3,L,,,,,,16.2,196.5,M,,,,,,18.2,54,M,,,,,,29.7,195.1,S,,,,,,27.7,267.4,L,,,,,,56,216.7,M,,,,
12.8,174.2,NC,,,,,,13.5,212.7,M,,,,,,15.4,78,L,,,,,,16.4,193.6,M,,,,,,18.2,58.1,S,,,,,,30.4,23,M,,,,,,28.4,56.7,M,,,,,,56.7,145.2,M,,,,
12.8,185.7,M,,,,,,13.5,232.3,M,,,,,,15.5,10.8,M,,,,,,16.9,55.4,M,,,,,,18.2,91.8,M,,,,,,30.4,115.5,L,,,,,,28.4,113.4,L,,,,,,56.7,173.5,S,,,,
12.8,196.5,M,,,,,,14.2,6.8,L,,,,,,15.5,38.5,M,,,,,,16.9,74.3,M,,,,,,18.2,145.8,M,,,,,,30.4,139.1,M,,,,,,28.4,218.8,M,,,,,,57.4,199.2,M,,,,
12.8,199.9,M,,,,,,14.2,10.8,L,,,,,,15.5,62.8,S,,,,,,16.9,92.5,L,,,,,,18.2,209.4,M,,,,,,30.4,210.7,L,,,,,,28.4,225.5,S,,,,,,57.4,239.7,L,,,,
12.8,212.7,M,,,,,,14.2,55.4,L,,,,,,15.5,70.9,L,,,,,,16.9,133.7,M,,,,,,18.9,31.1,L,,,,,,31.1,33.8,M,,,,,,28.4,234.3,M,,,,,,58.1,56.7,M,,,,
13.2,92.6,M,,,,,,14.2,72.9,L,,,,,,15.5,89.1,M,,,,,,16.9,152.6,L,,,,,,18.9,62.1,L,,,,,,31.1,41.2,M,,,,,,28.4,272.8,L,,,,,,58.1,158.7,M,,,,
13.3,68.9,M,,,,,,14.2,78.3,M,,,,,,15.5,139.8,M,,,,,,16.9,235.6,M,,,,,,18.9,139.1,L,,,,,,31.1,92.5,M,,,,,,29,35.8,M,,,,,,58.1,230.2,L,,,,
13.3,95,M,,,,,,14.2,89.8,L,,,,,,15.5,149.9,M,,,,,,17.2,191.5,M,,,,,,18.9,201.9,L,,,,,,31.1,100.6,M,,,,,,29,70.2,S,,,,,,58.7,106,L,,,,
13.4,73.3,S,,,,,,14.2,106,M,,,,,,15.5,182.3,M,,,,,,17.6,43.2,L,,,,,,19.6,14.9,L,,,,,,31.1,181,M,,,,,,29,98.6,L,,,,,,59.4,85.8,L,,,,
13.4,79.8,M,,,,,,14.2,135,M,,,,,,15.5,202.6,L,,,,,,17.6,122.2,L,,,,,,19.6,23,L,,,,,,31.7,56.7,M,,,,,,29,203.9,L,,,,,,60.1,34.4,M,,,,
13.5,15.5,M,,,,,,14.2,143.1,M,,,,,,16.2,27,L,,,,,,18.2,62.1,L,,,,,,19.6,39.2,M,,,,,,31.7,157.3,M,,,,,,29,208.6,M,,,,,,60.1,128.3,M,,,,
13.5,31.1,L,,,,,,14.2,148.5,M,,,,,,16.2,58.1,M,,,,,,18.2,118.2,M,,,,,,19.6,50,M,,,,,,31.7,185.7,M,,,,,,29,278.9,L,,,,,,60.1,191.1,L,,,,
13.5,41.2,L,,,,,,14.2,184.3,M,,,,,,16.2,93.2,M,,,,,,18.2,129.6,L,,,,,,19.6,156,L,,,,,,31.7,205.9,M,,,,,,29.7,251.8,L,,,,,,60.8,138.4,L,,,,
13.5,62.8,M,,,,,,14.2,201.9,M,,,,,,16.2,128.3,L,,,,,,18.2,141.1,M,,,,,,19.6,160,L,,,,,,32.4,13.5,M,,,,,,30.4,82.4,L,,,,,,60.8,166.8,M,,,,
13.5,113.4,M,,,,,,14.2,222.1,S,,,,,,16.2,133,L,,,,,,18.2,160.7,M,,,,,,19.6,197.8,M,,,,,,32.4,52,L,,,,,,31.1,14.9,S,,,,,,60.8,259.3,L,,,,
13.5,126.9,L,,,,,,14.4,66.6,M,,,,,,16.2,160.7,M,,,,,,18.2,168.8,L,,,,,,19.6,222.8,M,,,,,,32.4,161.4,M,,,,,,31.1,29,L,,,,,,61.4,64.1,M,,,,
13.5,132.3,M,,,,,,14.9,51.3,M,,,,,,16.2,186.4,M,,,,,,18.2,172.9,M,,,,,,20.3,72.2,M,,,,,,32.4,166.8,S,,,,,,31.1,197.2,L,,,,,,61.4,77.6,L,,,,
